name,id,align,eye,hair,sex,alive,appearances,timeline
matthew hawk (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,deceased characters,195.0,1962-11-01
dorma (heroes reborn) (earth-616),not-available,not-available,blue eyes,auburn hair,female characters,deceased characters,8.0,1996-12-01
victor von doom (heroes reborn) (earth-616),public identity,bad characters,not-available,not-available,male characters,living characters,9.0,1996-11-01
sharon ventura (earth-616),secret identity,good characters,blue eyes,red hair,female characters,living characters,105.0,1985-09-01
andrea margulies (earth-616),secret identity,not-available,blue eyes,blond hair,female characters,deceased characters,9.0,2003-03-01
juno (earth-616),no dual identity,bad characters,not-available,bald,male characters,deceased characters,4.0,1975-10-01
sonny tremont (earth-616),not-available,not-available,not-available,not-available,male characters,living characters,1.0,1981-06-01
michelle warkworth (earth-616),not-available,bad characters,not-available,not-available,female characters,living characters,1.0,1977-08-01
hunter (pride) (earth-616),secret identity,neutral characters,blue eyes,black hair,male characters,living characters,9.0,2005-09-01
metzger (earth-616),secret identity,bad characters,blue eyes,bald,male characters,deceased characters,3.0,2008-12-01
eurystheus (earth-616),not-available,bad characters,not-available,not-available,male characters,deceased characters,10.0,2005-06-01
baron karza (earth-616),no dual identity,bad characters,red eyes,black hair,male characters,living characters,47.0,1979-01-01
nina tsiolkovsky (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,living characters,5.0,1962-10-01
gray dolman (earth-616),not-available,not-available,brown eyes,black hair,male characters,living characters,8.0,1999-02-01
jim (security guard) (earth-616),public identity,not-available,not-available,not-available,male characters,living characters,1.0,1963-07-01
jeff hagees (earth-616),secret identity,bad characters,blue eyes,red hair,male characters,deceased characters,16.0,1991-07-01
freddie glazer (earth-616),not-available,not-available,not-available,not-available,male characters,living characters,6.0,1995-10-01
angela bradford (earth-616),not-available,bad characters,not-available,not-available,female characters,living characters,2.0,1998-09-01
whitemane (asgard) (earth-616),not-available,good characters,not-available,white hair,male characters,living characters,2.0,1972-01-01
gorgon (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,272.0,1965-11-01
doctor lammon (earth-616),secret identity,bad characters,not-available,brown hair,male characters,deceased characters,1.0,1945-12-01
rayna piper (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,deceased characters,10.0,1993-10-01
roberto da costa (reignfire) (earth-616),secret identity,bad characters,not-available,no hair,male characters,deceased characters,16.0,1993-09-01
old billy (earth-616),no dual identity,neutral characters,not-available,not-available,male characters,living characters,1.0,1976-03-01
henry gyrich (heroes reborn) (earth-616),no dual identity,neutral characters,not-available,not-available,male characters,living characters,4.0,1996-11-01
wally layton (earth-616),no dual identity,good characters,grey eyes,brown hair,male characters,living characters,17.0,2012-03-01
boyd buzzard (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,2.0,2011-04-01
go vin ng (earth-616),not-available,neutral characters,not-available,black hair,male characters,living characters,2.0,1992-05-01
simon leech (earth-616),public identity,bad characters,not-available,black hair,male characters,deceased characters,1.0,1952-07-01
john renwick (earth-616),no dual identity,good characters,not-available,not-available,male characters,living characters,15.0,not-available
dulb (earth-616),not-available,not-available,not-available,black hair,male characters,living characters,2.0,1982-11-01
sovel redhand (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,13.0,2009-03-01
stilt-man (marvel team-up) (earth-616),secret identity,bad characters,not-available,blond hair,male characters,living characters,5.0,2005-08-01
first fallen (earth-616),secret identity,bad characters,variable eyes,no hair,male characters,living characters,3.0,2006-08-01
lawrence trask (earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,deceased characters,14.0,1969-06-01
mass (freedom force) (earth-616),secret identity,neutral characters,black eyes,red hair,male characters,living characters,2.0,2013-03-01
saint cyrus leviticus (earth-616),secret identity,bad characters,yellow eyes,white hair,male characters,living characters,3.0,1998-11-01
wayde garrison (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,1.0,1969-02-01
meg (magistrate) (earth-616),not-available,not-available,not-available,not-available,not-available,living characters,1.0,1988-11-01
mark diering (earth-616),secret identity,bad characters,not-available,brown hair,male characters,living characters,4.0,1987-12-01
silence (new wave) (earth-616),not-available,bad characters,not-available,not-available,female characters,living characters,3.0,1985-11-01
big murder (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,5.0,not-available
salty smith (earth-616),public identity,good characters,not-available,blond hair,male characters,living characters,13.0,1954-08-01
nakh (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,2.0,2010-10-01
bridget malone (earth-616),secret identity,bad characters,blue eyes,blond hair,female characters,living characters,7.0,1999-11-01
jason wyngarde (earth-616),secret identity,bad characters,brown eyes,grey hair,male characters,deceased characters,121.0,1964-03-01
astrid bloom (earth-616),no dual identity,bad characters,brown eyes,black hair,female characters,living characters,5.0,2004-10-01
zhilla char (earth-616),secret identity,bad characters,not-available,green hair,female characters,living characters,1.0,1989-02-01
scab (starkey) (earth-616),secret identity,good characters,red eyes,bald,male characters,deceased characters,6.0,1999-11-01
hagar (earth-616),secret identity,bad characters,green eyes,no hair,male characters,living characters,2.0,1979-05-01
todd keller (earth-616),no dual identity,neutral characters,green eyes,blond hair,male characters,living characters,4.0,2010-03-01
robin braxton (earth-616),public identity,neutral characters,green eyes,red hair,female characters,living characters,18.0,1986-03-01
banca rech (earth-616),public identity,not-available,white eyes,black hair,female characters,living characters,6.0,1986-09-01
arlok (earth-616),no dual identity,good characters,not-available,black hair,male characters,deceased characters,4.0,1981-07-01
elizabeth benning (earth-616),not-available,neutral characters,not-available,not-available,female characters,living characters,9.0,2007-11-01
butterfly (avatars) (earth-616),secret identity,bad characters,not-available,black hair,female characters,living characters,8.0,1994-12-01
broken blade (earth-616),secret identity,neutral characters,red eyes,black hair,female characters,living characters,6.0,2010-09-01
night raven (vigilante) (earth-616),secret identity,good characters,grey eyes,bald,male characters,living characters,84.0,1979-03-01
chan liuchow (earth-616),public identity,good characters,not-available,black hair,male characters,living characters,5.0,1961-10-01
adam peters (earth-616),no dual identity,bad characters,brown eyes,black hair,male characters,living characters,1.0,1988-06-01
