name,id,align,eye,hair,sex,alive,appearances,first appearance,year
matthew hawk (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,deceased characters,195.0,nov-62,1962.0
dorma (heroes reborn) (earth-616),,,blue eyes,auburn hair,female characters,deceased characters,8.0,dec-96,1996.0
victor von doom (heroes reborn) (earth-616),public identity,bad characters,,,male characters,living characters,9.0,nov-96,1996.0
sharon ventura (earth-616),secret identity,good characters,blue eyes,red hair,female characters,living characters,105.0,sep-85,1985.0
andrea margulies (earth-616),secret identity,,blue eyes,blond hair,female characters,deceased characters,9.0,mar-03,2003.0
juno (earth-616),no dual identity,bad characters,,bald,male characters,deceased characters,4.0,oct-75,1975.0
sonny tremont (earth-616),,,,,male characters,living characters,1.0,jun-81,1981.0
michelle warkworth (earth-616),,bad characters,,,female characters,living characters,1.0,aug-77,1977.0
hunter (pride) (earth-616),secret identity,neutral characters,blue eyes,black hair,male characters,living characters,9.0,sep-05,2005.0
metzger (earth-616),secret identity,bad characters,blue eyes,bald,male characters,deceased characters,3.0,dec-08,2008.0
eurystheus (earth-616),,bad characters,,,male characters,deceased characters,10.0,jun-05,2005.0
baron karza (earth-616),no dual identity,bad characters,red eyes,black hair,male characters,living characters,47.0,jan-79,1979.0
nina tsiolkovsky (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,living characters,5.0,oct-62,1962.0
gray dolman (earth-616),,,brown eyes,black hair,male characters,living characters,8.0,feb-99,1999.0
jim (security guard) (earth-616),public identity,,,,male characters,living characters,1.0,jul-63,1963.0
jeff hagees (earth-616),secret identity,bad characters,blue eyes,red hair,male characters,deceased characters,16.0,jul-91,1991.0
freddie glazer (earth-616),,,,,male characters,living characters,6.0,oct-95,1995.0
angela bradford (earth-616),,bad characters,,,female characters,living characters,2.0,sep-98,1998.0
whitemane (asgard) (earth-616),,good characters,,white hair,male characters,living characters,2.0,jan-72,1972.0
gorgon (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,272.0,nov-65,1965.0
doctor lammon (earth-616),secret identity,bad characters,,brown hair,male characters,deceased characters,1.0,dec-45,1945.0
rayna piper (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,deceased characters,10.0,oct-93,1993.0
roberto da costa (reignfire) (earth-616),secret identity,bad characters,,no hair,male characters,deceased characters,16.0,sep-93,1993.0
old billy (earth-616),no dual identity,neutral characters,,,male characters,living characters,1.0,mar-76,1976.0
henry gyrich (heroes reborn) (earth-616),no dual identity,neutral characters,,,male characters,living characters,4.0,nov-96,1996.0
wally layton (earth-616),no dual identity,good characters,grey eyes,brown hair,male characters,living characters,17.0,mar-12,2012.0
boyd buzzard (earth-616),,bad characters,,,male characters,living characters,2.0,apr-11,2011.0
go vin ng (earth-616),,neutral characters,,black hair,male characters,living characters,2.0,may-92,1992.0
simon leech (earth-616),public identity,bad characters,,black hair,male characters,deceased characters,1.0,jul-52,1952.0
john renwick (earth-616),no dual identity,good characters,,,male characters,living characters,15.0,,
dulb (earth-616),,,,black hair,male characters,living characters,2.0,nov-82,1982.0
sovel redhand (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,13.0,mar-09,2009.0
stilt-man (marvel team-up) (earth-616),secret identity,bad characters,,blond hair,male characters,living characters,5.0,aug-05,2005.0
first fallen (earth-616),secret identity,bad characters,variable eyes,no hair,male characters,living characters,3.0,aug-06,2006.0
lawrence trask (earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,deceased characters,14.0,jun-69,1969.0
mass (freedom force) (earth-616),secret identity,neutral characters,black eyes,red hair,male characters,living characters,2.0,mar-13,2013.0
saint cyrus leviticus (earth-616),secret identity,bad characters,yellow eyes,white hair,male characters,living characters,3.0,nov-98,1998.0
wayde garrison (earth-616),secret identity,bad characters,,,male characters,living characters,1.0,feb-69,1969.0
meg (magistrate) (earth-616),,,,,,living characters,1.0,nov-88,1988.0
mark diering (earth-616),secret identity,bad characters,,brown hair,male characters,living characters,4.0,dec-87,1987.0
silence (new wave) (earth-616),,bad characters,,,female characters,living characters,3.0,nov-85,1985.0
big murder (earth-616),,bad characters,,,male characters,living characters,5.0,,
salty smith (earth-616),public identity,good characters,,blond hair,male characters,living characters,13.0,aug-54,1954.0
nakh (earth-616),secret identity,bad characters,,,male characters,living characters,2.0,oct-10,2010.0
bridget malone (earth-616),secret identity,bad characters,blue eyes,blond hair,female characters,living characters,7.0,nov-99,1999.0
jason wyngarde (earth-616),secret identity,bad characters,brown eyes,grey hair,male characters,deceased characters,121.0,mar-64,1964.0
astrid bloom (earth-616),no dual identity,bad characters,brown eyes,black hair,female characters,living characters,5.0,oct-04,2004.0
zhilla char (earth-616),secret identity,bad characters,,green hair,female characters,living characters,1.0,feb-89,1989.0
scab (starkey) (earth-616),secret identity,good characters,red eyes,bald,male characters,deceased characters,6.0,nov-99,1999.0
hagar (earth-616),secret identity,bad characters,green eyes,no hair,male characters,living characters,2.0,may-79,1979.0
todd keller (earth-616),no dual identity,neutral characters,green eyes,blond hair,male characters,living characters,4.0,mar-10,2010.0
robin braxton (earth-616),public identity,neutral characters,green eyes,red hair,female characters,living characters,18.0,mar-86,1986.0
banca rech (earth-616),public identity,,white eyes,black hair,female characters,living characters,6.0,sep-86,1986.0
arlok (earth-616),no dual identity,good characters,,black hair,male characters,deceased characters,4.0,jul-81,1981.0
elizabeth benning (earth-616),,neutral characters,,,female characters,living characters,9.0,nov-07,2007.0
butterfly (avatars) (earth-616),secret identity,bad characters,,black hair,female characters,living characters,8.0,dec-94,1994.0
broken blade (earth-616),secret identity,neutral characters,red eyes,black hair,female characters,living characters,6.0,sep-10,2010.0
night raven (vigilante) (earth-616),secret identity,good characters,grey eyes,bald,male characters,living characters,84.0,mar-79,1979.0
chan liuchow (earth-616),public identity,good characters,,black hair,male characters,living characters,5.0,oct-61,1961.0
adam peters (earth-616),no dual identity,bad characters,brown eyes,black hair,male characters,living characters,1.0,jun-88,1988.0
rupert holloway (earth-616),no dual identity,,,,male characters,deceased characters,2.0,dec-88,1988.0
arnold kaminsky (earth-616),public identity,bad characters,,black hair,male characters,living characters,1.0,may-87,1987.0
bull dawson (earth-616),public identity,good characters,,black hair,male characters,living characters,2.0,oct-41,1941.0
commissar (android) (earth-616),public identity,bad characters,,,,deceased characters,2.0,jul-65,1965.0
rudolf parsons (earth-616),secret identity,bad characters,,black hair,male characters,living characters,1.0,may-42,1942.0
kingo sunen (earth-616),public identity,good characters,,black hair,male characters,living characters,18.0,may-77,1977.0
calvin rankin (earth-616),,good characters,brown eyes,brown hair,male characters,living characters,67.0,apr-66,1966.0
radium (human) (earth-616),,bad characters,,no hair,,living characters,1.0,oct-79,1979.0
raymond sikorski (earth-616),public identity,good characters,brown eyes,brown hair,male characters,living characters,29.0,sep-83,1983.0
talisman (australian) (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,7.0,jun-82,1982.0
constantius (earth-616),public identity,bad characters,,,male characters,deceased characters,1.0,apr-75,1975.0
dargil (earth-616),secret identity,bad characters,,,male characters,living characters,3.0,sep-98,1998.0
lenny ballinger (earth-616),public identity,good characters,black eyes,brown hair,male characters,living characters,23.0,may-89,1989.0
martin bastelli (earth-616),,,brown eyes,black hair,male characters,living characters,6.0,sep-05,2005.0
otmu (earth-616),secret identity,neutral characters,,no hair,male characters,living characters,1.0,oct-90,1990.0
peter scholl (earth-616),,bad characters,brown eyes,bald,male characters,deceased characters,2.0,dec-08,2008.0
doop (earth-616),no dual identity,good characters,variable eyes,black hair,male characters,living characters,113.0,jul-01,2001.0
alice evans (earth-616),no dual identity,good characters,,blond hair,female characters,living characters,1.0,nov-60,1960.0
shadow stalker (earth-616),,bad characters,,bald,male characters,living characters,3.0,mar-75,1975.0
bailey mathius (earth-616),no dual identity,,,,male characters,living characters,3.0,dec-03,2003.0
number 5 (sentinel) (earth-616),,bad characters,,,,deceased characters,1.0,aug-69,1969.0
fantasma (dark ocean society) (earth-616),secret identity,bad characters,,black hair,female characters,living characters,5.0,,
hymir (earth-616),,,,grey hair,male characters,living characters,1.0,jul-78,1978.0
flash finnigan (earth-616),public identity,good characters,,blond hair,female characters,living characters,2.0,dec-52,1952.0
von gukk (earth-616),no dual identity,bad characters,,bald,male characters,living characters,1.0,jun-43,1943.0
yi yang (earth-616),,bad characters,green eyes,black hair,female characters,living characters,15.0,jun-79,1979.0
aiko miyazaki (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,15.0,sep-98,1998.0
val (earth-616),public identity,good characters,blue eyes,brown hair,male characters,living characters,7.0,oct-00,2000.0
dusk (demon) (earth-616),,bad characters,,,,living characters,9.0,jan-94,1994.0
ikthon (earth-616),public identity,bad characters,,black hair,male characters,living characters,14.0,nov-68,1968.0
master of the sun (earth-616),secret identity,good characters,,white hair,male characters,living characters,3.0,jan-76,1976.0
bamboo knife butcher (earth-616),secret identity,bad characters,,grey hair,male characters,deceased characters,1.0,dec-44,1944.0
john cheever (earth-616),,neutral characters,,,male characters,living characters,6.0,sep-78,1978.0
ultron (earth-616),no dual identity,bad characters,red eyes,no hair,male characters,deceased characters,181.0,jul-68,1968.0
jonathan storm (counter-earth) (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,1.0,jun-73,1973.0
mazinger z (earth-616),,,,,,living characters,1.0,feb-79,1979.0
cole yorby (earth-616),public identity,bad characters,,black hair,male characters,living characters,1.0,apr-69,1969.0
dragonfire (earth-616),,,,,male characters,deceased characters,5.0,jun-79,1979.0
lepard (earth-616),secret identity,good characters,,,male characters,deceased characters,7.0,nov-66,1966.0
chili storm (earth-616),public identity,,green eyes,red hair,female characters,living characters,284.0,oct-48,1948.0
pisces (female lmd) (earth-616),,,,blond hair,female characters,living characters,4.0,aug-77,1977.0
terdu (earth-616),secret identity,bad characters,,black hair,male characters,deceased characters,1.0,mar-45,1945.0
tyro (earth-616),public identity,good characters,orange eyes,no hair,male characters,living characters,4.0,may-08,2008.0
veritas (earth-616),,neutral characters,,,male characters,living characters,1.0,mar-67,1967.0
kehl (earth-616),public identity,bad characters,,no hair,male characters,living characters,3.0,may-85,1985.0
anton vanko (whiplash) (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,living characters,16.0,jan-10,2010.0
red shift (earth-616),secret identity,,,,male characters,deceased characters,13.0,sep-99,1999.0
kurani (earth-616),public identity,,red eyes,no hair,,living characters,2.0,mar-07,2007.0
zedrao (earth-616),secret identity,bad characters,green eyes,no hair,male characters,living characters,7.0,apr-82,1982.0
eliot franklin (thunderball) (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,146.0,nov-74,1974.0
azunbulxibar (earth-616),secret identity,,,,male characters,living characters,1.0,jun-89,1989.0
kathryn worthington (earth-616),public identity,good characters,blue eyes,blond hair,female characters,deceased characters,19.0,nov-65,1965.0
beemer (earth-616),,bad characters,,bald,male characters,living characters,11.0,jun-03,2003.0
barb (employee of arcade) (earth-616),secret identity,,yellow eyes,no hair,male characters,living characters,2.0,jun-94,1994.0
clayton wojciehowicz (earth-616),public identity,bad characters,black eyes,bald,male characters,deceased characters,3.0,may-08,2008.0
madame hydra (heroes reborn) (earth-616),,bad characters,,,female characters,deceased characters,5.0,nov-96,1996.0
victor von doom (impostor) (earth-616),secret identity,bad characters,red eyes,,male characters,living characters,2.0,sep-92,1992.0
kaa (earth-616),secret identity,bad characters,,,male characters,deceased characters,6.0,dec-60,1960.0
xa (earth-616),,bad characters,,red hair,female characters,living characters,5.0,dec-90,1990.0
black maria (earth-616),secret identity,neutral characters,white eyes,black hair,female characters,living characters,3.0,dec-07,2007.0
richard jones (phantom reporter) (earth-616),secret identity,good characters,blue eyes,red hair,male characters,living characters,19.0,apr-40,1940.0
melvin scarbo (earth-616),secret identity,bad characters,brown eyes,bald,male characters,living characters,9.0,mar-70,1970.0
bront (earth-616),no dual identity,bad characters,,no hair,male characters,living characters,3.0,apr-93,1993.0
heinrich zemo (heroes reborn) (earth-616),public identity,bad characters,,,male characters,deceased characters,7.0,apr-97,1997.0
gilbert benson (earth-616),secret identity,neutral characters,,brown hair,male characters,deceased characters,6.0,aug-91,1991.0
loki laufeyson (kid loki) (earth-616),secret identity,good characters,green eyes,black hair,male characters,deceased characters,13.0,jan-11,2011.0
alec maloni (earth-616),no dual identity,good characters,,,male characters,living characters,4.0,apr-96,1996.0
kai-ra (earth-616),secret identity,bad characters,,no hair,male characters,living characters,2.0,may-92,1992.0
kwill (earth-616),secret identity,,,,male characters,deceased characters,1.0,dec-85,1985.0
eugene mason (earth-616),secret identity,,,blond hair,male characters,deceased characters,5.0,may-84,1984.0
khufor (earth-616),public identity,bad characters,blue eyes,no hair,male characters,living characters,4.0,sep-40,1940.0
