88 (earth-616)
aaidan blomfield (earth-616)
aalbort (earth-616)
aaron english (earth-616)
abbess horror (earth-616)
abd-el-hazred (earth-616)
abner (mutant) (earth-616)
abraham beame (earth-616)
abraham kieros (earth-616)
abrams (earth-616)
abu ho dadi (earth-616)
ace spencer (earth-616)
adam brashear (earth-616)
adam neramani (earth-616)
adam peters (earth-616)
adam wright (earth-616)
adolphus (earth-616)
adrian defoe (earth-616)
advisor (earth-616)
aegir (earth-616)
agent 5 (earth-616)
agent x (nijo) (earth-616)
aginar (earth-616)
ai apaec (earth-616)
aiko miyazaki (earth-616)
airborne (death squad) (earth-616)
ajak (earth-616)
ajax (pantheon) (earth-616)
akiro (earth-616)
akulia (earth-616)
alan wilson (earth-616)
albakor (earth-616)
albert bendix (earth-616)
albert wanton (earth-616)
alec maloni (earth-616)
aleph (garden) (earth-616)
alexander ellis (earth-616)
aleytys forrester (earth-616)
allen marc yuric (earth-616)
alpha (mad thinker robot) (earth-616)
alysande stuart (earth-616)
amadeus cho (earth-616)
amanda batavides (earth-616)
amanda chaney (earth-616)
amanda fairmont (earth-616)
amazon (s.h.e.) (earth-616)
amiko kobayashi (earth-616)
ammon ra (earth-616)
amp (michelle) (earth-616)
anastasia kravinoff (earth-616)
anath-na mut (earth-616)
andrea haggard (earth-616)
andrea margulies (earth-616)
andrea roarke (earth-616)
andrei gorlovich (earth-616)
andrew jackson (earth-616)
andrew prentiss (earth-616)
andromeda (pantheon) (earth-616)
andwella (earth-616)
aneka (earth-616)
angela bradford (earth-616)
angela cairn (earth-616)
angela tortelli (earth-616)
angerboda (earth-616)
ani-mator (earth-616)
anky (earth-616)
ann herd (earth-616)
anna kapplebaum (earth-616)
annie (lmd) (earth-616)
annie richardson (earth-616)
anthony davis (earth-616)
anthony sloan (earth-616)
anthony stark (doppelganger) (earth-616)
anthony zerbe (earth-616)
anthos (pheragot) (earth-616)
anti-being (earth-616)
anti-cap (earth-616)
anti-venom (symbiote) (earth-616)
antoine delsoin (earth-616)
anton devine (earth-616)
anton vanko (heroes reborn) (earth-616)
anton vanko (whiplash) (earth-616)
anzehlika medvedev (earth-616)
apalla (earth-616)
aquarius (lmd) (earth-616)
arcadia deville (earth-616)
archibald hunt (earth-616)
archon (earth-616)
argos (atlantean) (earth-616)
ariana saddiqi (earth-616)
aries (lmd) (earth-616)
arkadine arcadius (earth-616)
arlok (earth-616)
armena ortega (earth-616)
arnie gunderson (earth-616)
arnie roth (earth-616)
arno (earth-616)
arnold kaminsky (earth-616)
arsenic (element) (earth-616)
arthur barrington (earth-616)
arthur dearborn (earth-616)
arthur delacourte (earth-616)
arthur maddicks (earth-616)
arthur shaman (earth-616)
arthur vale (earth-616)
artume (earth-616)
arturo falcone (earth-616)
ashley martin (earth-616)
assassin (maria) (earth-616)
astarte (earth-616)
astrid bloom (earth-616)
astrid mordo (earth-616)
asylum (psionex) (earth-616)
aurora poule (earth-616)
austin cao (earth-616)
ava peloso (earth-616)
avios (earth-616)
axe (mutant) (earth-616)
axel cluney (earth-616)
azunbulxibar (earth-616)
bailey mathius (earth-616)
ballistik (earth-616)
balzor (earth-616)
bambina arbogast (earth-616)
banca rech (earth-616)
bangs (earth-616)
barb (employee of arcade) (earth-616)
barbara degioia (earth-616)
barbara gruber (earth-616)
baron karza (earth-616)
barroas (earth-616)
barry gwynn (earth-616)
barry witherspoon (earth-616)
barth bukowski (earth-616)
beast (demon) (earth-616)
beast (lobe) (earth-616)
beautiful dreamer (morlock) (earth-616)
beemer (earth-616)
bei bang-wen (earth-616)
bekka wallis (earth-616)
beldame (earth-616)
bella blaire (earth-616)
bellam (earth-616)
bellos (earth-616)
